Car,Price,Body,Mileage,Engine Info,Eng Type,Registration,Year,Model
Aston Martin,"65,000",other,37,6,Petrol,yes,2006,DB9
Aston Martin,"1,25,000",sedan,18,6,Petrol,yes,2012,Rapide
Aston Martin,"1,25,000",sedan,12,6,Petrol,yes,2011,Rapide
Audi,"37,000",sedan,37,2.8,Petrol,yes,2012,A6
Audi,"3,850",vagon,215,2.5,Diesel,no,2002,A6
Audi,"35,900",crossover,143,3,Diesel,yes,2010,Q7
Audi,"36,000",crossover,145,3,Petrol,yes,2010,Q7
Audi,"18,500",crossover,185,3.6,Petrol,yes,2008,Q7
Audi,"34,000",crossover,118,2,Diesel,yes,2013,Q5
Audi,"4,600",vagon,242,99.99,Diesel,no,2004,A6
Audi,"24,996",sedan,98,3.2,Petrol,yes,2009,A5
Audi,"39,000",sedan,18,1.8,Other,yes,2015,A5
Audi,"25,500",sedan,140,2.8,Petrol,yes,2012,A6
Audi,"2,200",sedan,250,NA,Diesel,no,2001,A6
Audi,"2,300",vagon,250,2.5,Diesel,no,2001,A6
Audi,"2,350",vagon,250,NA,Diesel,no,2001,A6
Audi,"3,700",vagon,273,2.5,Diesel,no,2003,A6
Audi,"37,800",other,126,3,Diesel,yes,2010,Q7
Audi,"46,000",sedan,170,4.2,Diesel,yes,2011,A8
Audi,"24,900",sedan,163,4.2,Diesel,yes,2008,A8
Audi,"3,600",sedan,374,2.5,Diesel,no,2001,A8
Audi,"23,800",crossover,205,4.2,Gas,yes,2007,Q7
Audi,"16,000",sedan,250,2,Diesel,yes,2008,A6
Audi,"29,603",sedan,1,1.4,Petrol,yes,2016,A4
Audi,"20,500",sedan,155,3,Petrol,yes,2010,A6
Audi,"2,650",vagon,270,2.5,Diesel,no,2001,A6
Audi,"55,000",crossover,65,2.99,Diesel,yes,2013,A6 Allroad
Audi,"16,999",vagon,140,4.2,Petrol,yes,2007,A6 Allroad
Audi,"7,750",sedan,259,3,Diesel,no,2005,A6
Audi,"25,500",vagon,181,3,Petrol,yes,2009,A6 Allroad
Audi,"72,000",sedan,55,6.3,Petrol,yes,2012,A8
Audi,"36,100",sedan,75,3,Diesel,yes,2011,A7
Audi,"17,700",other,70,2,Petrol,yes,2009,TT
Audi,"9,999",sedan,190,2.5,Diesel,yes,2003,A6
Audi,"8,800",sedan,205,1.8,Petrol,yes,2003,A4
Audi,"31,700",sedan,32,1.8,Petrol,yes,2014,A4
Audi,"29,000",vagon,213,3,Diesel,yes,2010,A6 Allroad
Audi,"73,500",sedan,53,6.3,Petrol,yes,2013,A8
Audi,"55,000",hatch,24,2.8,Other,yes,2014,A7
Audi,"68,500",sedan,44,6.3,Petrol,yes,2012,A8
Audi,"42,700",crossover,75,3,Diesel,yes,2013,Q7
Audi,"44,800",crossover,100,3,Diesel,yes,2014,Q7
Audi,"33,300",crossover,71,2,Petrol,yes,2011,Q5
Audi,"13,900",sedan,150,NA,Petrol,yes,2006,A8
Audi,"8,500",sedan,247,2.5,Diesel,yes,2001,A6
Audi,"11,950",sedan,190,3,Petrol,yes,2006,A6
Audi,"51,500",crossover,27,3,Diesel,yes,2013,Q7
Audi,"33,500",sedan,42,2,Petrol,yes,2013,A5
Audi,"36,500",crossover,115,3,Diesel,yes,2010,Q7
